WKT,latitude,longitude,brightness,scan,track,acq_date,acq_time,acq_datetime,confidence,brightness_2,frp
"POINT (-101.28759 32.44366)",32.44366,-101.28759,312.82,0.56,0.43,2023-10-01,854,2023/10/01 08:54:00+00,n,290.25,1.58
"POINT (-101.43379 32.4654)",32.4654,-101.43379,310.42,0.55,0.43,2023-10-01,854,2023/10/01 08:54:00+00,n,289.75,1.52
"POINT (-101.4281 32.46424)",32.46424,-101.4281,311.85,0.55,0.43,2023-10-01,854,2023/10/01 08:54:00+00,n,290.21,1.49
"POINT (-101.42238 32.46307)",32.46307,-101.42238,309.11,0.55,0.43,2023-10-01,854,2023/10/01 08:54:00+00,n,290.8,1.49
"POINT (-101.36506 32.45137)",32.45137,-101.36506,301.69,0.55,0.43,2023-10-01,854,2023/10/01 08:54:00+00,n,290.65,0.7
"POINT (-101.22788 32.41508)",32.41508,-101.22788,301.85,0.56,0.43,2023-10-01,854,2023/10/01 08:54:00+00,n,290.74,0.5
"POINT (-101.42901 32.46716)",32.46716,-101.42901,322.35,0.55,0.43,2023-10-01,854,2023/10/01 08:54:00+00,n,289.64,3.41
"POINT (-101.42328 32.46603)",32.46603,-101.42328,308.76,0.55,0.43,2023-10-01,854,2023/10/01 08:54:00+00,n,290.14,1.62
"POINT (-101.36113 32.44969)",32.44969,-101.36113,301.4,0.55,0.43,2023-10-01,854,2023/10/01 08:54:00+00,n,290.15,0.96
"POINT (-101.22943 32.41536)",32.41536,-101.22943,302.07,0.56,0.43,2023-10-01,854,2023/10/01 08:54:00+00,n,290.24,0.67
"POINT (-101.64598 32.47793)",32.47793,-101.64598,302.2,0.53,0.42,2023-10-01,854,2023/10/01 08:54:00+00,n,276.69,1.04
"POINT (-103.90208 31.80958)",31.80958,-103.90208,301.34,0.44,0.38,2023-10-01,854,2023/10/01 08:54:00+00,n,282.47,0.69
"POINT (-103.48755 31.83281)",31.83281,-103.48755,307.06,0.45,0.39,2023-10-01,854,2023/10/01 08:54:00+00,n,288.65,0.78
"POINT (-103.47728 31.8346)",31.8346,-103.47728,298.91,0.45,0.39,2023-10-01,854,2023/10/01 08:54:00+00,n,287.84,0.39
"POINT (-102.03008 31.58738)",31.58738,-102.03008,303.27,0.53,0.42,2023-10-01,854,2023/10/01 08:54:00+00,n,290.52,0.78
"POINT (-103.53505 31.88875)",31.88875,-103.53505,310.14,0.45,0.39,2023-10-01,854,2023/10/01 08:54:00+00,n,284.55,1.3
"POINT (-102.29086 31.66555)",31.66555,-102.29086,302.21,0.51,0.41,2023-10-01,854,2023/10/01 08:54:00+00,n,290.18,0.52
"POINT (-97.10734 30.54402)",30.54402,-97.10734,324.74,0.35,0.57,2023-10-01,854,2023/10/01 08:54:00+00,n,293.46,2.15
"POINT (-97.11092 30.54489)",30.54489,-97.11092,325.42,0.35,0.57,2023-10-01,854,2023/10/01 08:54:00+00,n,292.82,2.15
"POINT (-102.54962 31.74698)",31.74698,-102.54962,302.88,0.5,0.41,2023-10-01,854,2023/10/01 08:54:00+00,n,290.24,0.78
"POINT (-93.87298 29.75653)",29.75653,-93.87298,305.59,0.56,0.69,2023-10-01,854,2023/10/01 08:54:00+00,n,293.18,1.64
"POINT (-93.87852 29.75802)",29.75802,-93.87852,309.39,0.56,0.69,2023-10-01,854,2023/10/01 08:54:00+00,n,293.53,1.64
"POINT (-97.07224 30.60614)",30.60614,-97.07224,304.68,0.35,0.57,2023-10-01,854,2023/10/01 08:54:00+00,n,291.67,2.41
"POINT (-93.96617 29.83423)",29.83423,-93.96617,311.58,0.55,0.68,2023-10-01,854,2023/10/01 08:54:00+00,n,293.96,1.88
"POINT (-102.16192 31.707)",31.707,-102.16192,301.41,0.52,0.42,2023-10-01,854,2023/10/01 08:54:00+00,n,289.91,0.49
"POINT (-97.06708 30.61034)",30.61034,-97.06708,328.99,0.35,0.57,2023-10-01,854,2023/10/01 08:54:00+00,n,294.35,4.33
"POINT (-97.07062 30.61118)",30.61118,-97.07062,324.36,0.35,0.57,2023-10-01,854,2023/10/01 08:54:00+00,n,293.91,2.41
"POINT (-97.06189 30.61454)",30.61454,-97.06189,334.64,0.35,0.57,2023-10-01,854,2023/10/01 08:54:00+00,n,293.22,2.92
"POINT (-97.06546 30.61538)",30.61538,-97.06546,323.52,0.35,0.57,2023-10-01,854,2023/10/01 08:54:00+00,n,291.66,2.92
"POINT (-97.07265 30.60851)",30.60851,-97.07265,317.03,0.35,0.57,2023-10-01,854,2023/10/01 08:54:00+00,n,292.56,2.17
"POINT (-97.07612 30.60935)",30.60935,-97.07612,309.67,0.35,0.57,2023-10-01,854,2023/10/01 08:54:00+00,n,292.63,2.17
"POINT (-97.06912 30.60765)",30.60765,-97.06912,325.7,0.35,0.57,2023-10-01,854,2023/10/01 08:54:00+00,n,292.95,2.47
"POINT (-97.06397 30.61182)",30.61182,-97.06397,328.59,0.35,0.57,2023-10-01,854,2023/10/01 08:54:00+00,n,292.73,2.47
"POINT (-97.06752 30.61269)",30.61269,-97.06752,329.64,0.35,0.57,2023-10-01,854,2023/10/01 08:54:00+00,n,293.02,2.47
"POINT (-97.06593 30.61773)",30.61773,-97.06593,302.08,0.35,0.57,2023-10-01,854,2023/10/01 08:54:00+00,n,290.26,1.52
"POINT (-97.06238 30.61687)",30.61687,-97.06238,327.27,0.35,0.57,2023-10-01,854,2023/10/01 08:54:00+00,n,292.33,1.52
"POINT (-93.96672 29.83321)",29.83321,-93.96672,310.96,0.55,0.68,2023-10-01,854,2023/10/01 08:54:00+00,n,293.55,1.89
"POINT (-103.52873 32.02314)",32.02314,-103.52873,327.65,0.45,0.39,2023-10-01,854,2023/10/01 08:54:00+00,n,286.32,1.77
"POINT (-101.93674 32.51145)",32.51145,-101.93674,302.26,0.52,0.41,2023-10-01,854,2023/10/01 08:54:00+00,n,289.61,0.35
"POINT (-102.10674 32.48633)",32.48633,-102.10674,300.4,0.51,0.41,2023-10-01,854,2023/10/01 08:54:00+00,n,286.81,0.46
"POINT (-102.10855 32.48575)",32.48575,-102.10855,303.15,0.51,0.41,2023-10-01,854,2023/10/01 08:54:00+00,n,286.91,0.76
"POINT (-102.19167 32.48621)",32.48621,-102.19167,302.62,0.5,0.41,2023-10-01,854,2023/10/01 08:54:00+00,n,289.95,0.48
"POINT (-101.40952 32.28053)",32.28053,-101.40952,304.47,0.55,0.43,2023-10-01,854,2023/10/01 08:54:00+00,n,292.15,1.38
"POINT (-101.84437 32.21371)",32.21371,-101.84437,308.53,0.53,0.42,2023-10-01,854,2023/10/01 08:54:00+00,n,290.67,0.71
"POINT (-102.21487 32.38839)",32.38839,-102.21487,306.35,0.5,0.41,2023-10-01,854,2023/10/01 08:54:00+00,n,290.07,0.87
"POINT (-102.31817 32.39276)",32.39276,-102.31817,312.53,0.5,0.41,2023-10-01,854,2023/10/01 08:54:00+00,n,289.4,1.22
"POINT (-101.77048 32.27047)",32.27047,-101.77048,300.44,0.53,0.42,2023-10-01,854,2023/10/01 08:54:00+00,n,290.35,0.36
"POINT (-110.93166 34.23885)",34.23885,-110.93166,308.01,0.5,0.41,2023-10-01,854,2023/10/01 08:54:00+00,n,284.78,1.58
"POINT (-115.14687 32.21508)",32.21508,-115.14687,336.79,0.53,0.5,2023-10-01,854,2023/10/01 08:54:00+00,n,287.41,3.99
"POINT (-114.92075 32.25026)",32.25026,-114.92075,297.61,0.52,0.5,2023-10-01,854,2023/10/01 08:54:00+00,n,286.76,0.78
"POINT (-114.91904 32.25006)",32.25006,-114.91904,297.78,0.52,0.5,2023-10-01,854,2023/10/01 08:54:00+00,n,286.79,0.93
"POINT (-97.11318 29.33985)",29.33985,-97.11318,308.04,0.37,0.58,2023-10-01,854,2023/10/01 08:54:00+00,n,291.15,0.88
"POINT (-98.03458 29.57434)",29.57434,-98.03458,345.46,0.32,0.55,2023-10-01,854,2023/10/01 08:54:00+00,n,291.98,4.48
"POINT (-95.75172 29.06997)",29.06997,-95.75172,308.23,0.45,0.63,2023-10-01,854,2023/10/01 08:54:00+00,n,292.78,2.59
"POINT (-95.75342 29.07163)",29.07163,-95.75342,303.72,0.45,0.63,2023-10-01,854,2023/10/01 08:54:00+00,n,291.94,2.29
"POINT (-98.18146 29.68243)",29.68243,-98.18146,310.61,0.63,0.54,2023-10-01,854,2023/10/01 08:54:00+00,n,291.22,1.43
"POINT (-115.02354 32.48254)",32.48254,-115.02354,295.74,0.53,0.5,2023-10-01,854,2023/10/01 08:54:00+00,n,285.73,0.94
"POINT (-115.02345 32.48152)",32.48152,-115.02345,298.35,0.53,0.5,2023-10-01,854,2023/10/01 08:54:00+00,n,285.53,0.42
"POINT (-95.89404 29.26635)",29.26635,-95.89404,346.64,0.44,0.62,2023-10-01,854,2023/10/01 08:54:00+00,n,292.55,9.37
"POINT (-95.89839 29.26745)",29.26745,-95.89839,355.48,0.44,0.62,2023-10-01,854,2023/10/01 08:54:00+00,n,291.01,9.37
"POINT (-96.62332 29.47029)",29.47029,-96.62332,303.15,0.39,0.6,2023-10-01,854,2023/10/01 08:54:00+00,n,292.13,0.67
"POINT (-95.49385 29.28161)",29.28161,-95.49385,315.34,0.46,0.64,2023-10-01,854,2023/10/01 08:54:00+00,n,291.68,2.37
"POINT (-95.49201 29.28726)",29.28726,-95.49201,315.13,0.46,0.64,2023-10-01,854,2023/10/01 08:54:00+00,n,291.53,2.48
"POINT (-95.2066 29.22685)",29.22685,-95.2066,319.81,0.48,0.65,2023-10-01,854,2023/10/01 08:54:00+00,n,292.73,5.87
"POINT (-95.20184 29.22562)",29.22562,-95.20184,340.53,0.48,0.65,2023-10-01,854,2023/10/01 08:54:00+00,n,292.64,7.44
"POINT (-103.14304 31.14047)",31.14047,-103.14304,307.55,0.48,0.4,2023-10-01,854,2023/10/01 08:54:00+00,n,290.89,0.95
"POINT (-103.7243 31.26902)",31.26902,-103.7243,301.19,0.45,0.39,2023-10-01,854,2023/10/01 08:54:00+00,n,288.03,0.49
"POINT (-97.85841 30.05403)",30.05403,-97.85841,302.29,0.32,0.55,2023-10-01,854,2023/10/01 08:54:00+00,n,291.58,0.56
"POINT (-94.91151 29.36582)",29.36582,-94.91151,306.6,0.5,0.66,2023-10-01,854,2023/10/01 08:54:00+00,n,294,1.96
"POINT (-94.92437 29.37546)",29.37546,-94.92437,311.25,0.5,0.66,2023-10-01,854,2023/10/01 08:54:00+00,n,293.74,2.91
"POINT (-103.18333 31.42072)",31.42072,-103.18333,302.29,0.47,0.4,2023-10-01,854,2023/10/01 08:54:00+00,n,291.67,1.69
"POINT (-103.18244 31.42431)",31.42431,-103.18244,330.07,0.47,0.4,2023-10-01,854,2023/10/01 08:54:00+00,n,293.25,1.69
"POINT (-95.23442 29.71332)",29.71332,-95.23442,309.15,0.47,0.64,2023-10-01,854,2023/10/01 08:54:00+00,n,294.64,2.09
"POINT (-95.23589 29.71366)",29.71366,-95.23589,308.21,0.47,0.64,2023-10-01,854,2023/10/01 08:54:00+00,n,294.89,2.31
"POINT (-103.11475 31.49889)",31.49889,-103.11475,321.93,0.47,0.4,2023-10-01,854,2023/10/01 08:54:00+00,n,291.07,1.86
"POINT (-103.11384 31.50248)",31.50248,-103.11384,306.75,0.47,0.4,2023-10-01,854,2023/10/01 08:54:00+00,n,290.83,0.27
"POINT (-103.72636 31.62068)",31.62068,-103.72636,306.37,0.45,0.39,2023-10-01,854,2023/10/01 08:54:00+00,n,290.89,0.72
"POINT (-95.12483 29.74055)",29.74055,-95.12483,309.02,0.48,0.64,2023-10-01,854,2023/10/01 08:54:00+00,n,294.19,1.85
"POINT (-94.99895 29.74549)",29.74549,-94.99895,306.24,0.48,0.65,2023-10-01,854,2023/10/01 08:54:00+00,n,295.07,2.35
"POINT (-103.35797 31.61912)",31.61912,-103.35797,306.71,0.46,0.39,2023-10-01,854,2023/10/01 08:54:00+00,n,291.31,1.83
"POINT (-103.36275 31.62)",31.62,-103.36275,327.48,0.46,0.39,2023-10-01,854,2023/10/01 08:54:00+00,n,291.59,2.24
"POINT (-102.64727 31.51133)",31.51133,-102.64727,305.3,0.5,0.41,2023-10-01,854,2023/10/01 08:54:00+00,n,291.81,1.07
"POINT (-97.7176 30.45794)",30.45794,-97.7176,305,0.32,0.55,2023-10-01,854,2023/10/01 08:54:00+00,n,291.5,0.9
"POINT (-101.77621 31.36315)",31.36315,-101.77621,308.01,0.55,0.43,2023-10-01,854,2023/10/01 08:54:00+00,n,288.66,3.33
"POINT (-101.78186 31.36428)",31.36428,-101.78186,332.92,0.55,0.43,2023-10-01,854,2023/10/01 08:54:00+00,n,291.16,8.67
"POINT (-101.14691 31.25214)",31.25214,-101.14691,321.29,0.4,0.44,2023-10-01,854,2023/10/01 08:54:00+00,n,290.79,1.78
"POINT (-101.84562 32.21104)",32.21104,-101.84562,308.32,0.53,0.42,2023-10-01,854,2023/10/01 08:54:00+00,n,290.96,1.21
"POINT (-101.84538 32.20996)",32.20996,-101.84538,301.59,0.53,0.42,2023-10-01,854,2023/10/01 08:54:00+00,n,290.61,0.59
"POINT (-113.31628 35.51868)",35.51868,-113.31628,309.44,0.46,0.47,2023-10-01,854,2023/10/01 08:54:00+00,n,281.83,1.45
"POINT (-113.31738 35.51728)",35.51728,-113.31738,302.73,0.46,0.47,2023-10-01,854,2023/10/01 08:54:00+00,n,279.45,1.79
"POINT (-97.02399 32.46035)",32.46035,-97.02399,306.15,0.32,0.54,2023-10-01,854,2023/10/01 08:54:00+00,n,293.6,0.62
"POINT (-97.03684 32.45818)",32.45818,-97.03684,311.23,0.64,0.54,2023-10-01,854,2023/10/01 08:54:00+00,n,294.97,2.9
"POINT (-96.15552 32.22354)",32.22354,-96.15552,300.52,0.36,0.57,2023-10-01,854,2023/10/01 08:54:00+00,n,288.05,0.54
"POINT (-92.25386 34.00615)",34.00615,-92.25386,329.08,0.54,0.68,2023-10-01,854,2023/10/01 08:54:00+00,n,289.38,4.94
"POINT (-101.89678 35.53684)",35.53684,-101.89678,329.29,0.47,0.4,2023-10-01,854,2023/10/01 08:54:00+00,n,286.12,2.69
"POINT (-95.64177 33.69551)",33.69551,-95.64177,298.38,0.36,0.57,2023-10-01,854,2023/10/01 08:54:00+00,n,288.34,0.46
"POINT (-114.91238 36.35672)",36.35672,-114.91238,300.53,0.58,0.52,2023-10-01,854,2023/10/01 08:54:00+00,n,284.81,1.06
"POINT (-93.79367 32.28283)",32.28283,-93.79367,298.86,0.49,0.65,2023-10-01,854,2023/10/01 08:54:00+00,n,288.85,0.53
"POINT (-93.78873 32.2815)",32.2815,-93.78873,303.15,0.49,0.65,2023-10-01,854,2023/10/01 08:54:00+00,n,289.73,0.53
"POINT (-103.69886 32.09815)",32.09815,-103.69886,303.2,0.44,0.39,2023-10-01,854,2023/10/01 08:54:00+00,n,289.56,0.52
"POINT (-101.73146 31.77039)",31.77039,-101.73146,303.67,0.54,0.42,2023-10-01,854,2023/10/01 08:54:00+00,n,290.26,0.95
"POINT (-102.01886 31.8477)",31.8477,-102.01886,310.92,0.53,0.42,2023-10-01,854,2023/10/01 08:54:00+00,n,291.02,0.71
"POINT (-94.07722 30.08481)",30.08481,-94.07722,307.86,0.54,0.68,2023-10-01,854,2023/10/01 08:54:00+00,n,291.85,1.07
"POINT (-101.76404 31.85915)",31.85915,-101.76404,300.46,0.54,0.42,2023-10-01,854,2023/10/01 08:54:00+00,n,290.17,0.44
"POINT (-102.34235 32.01357)",32.01357,-102.34235,305.42,0.5,0.41,2023-10-01,854,2023/10/01 08:54:00+00,n,291.13,0.91
"POINT (-111.78011 33.50735)",33.50735,-111.78011,345.06,0.54,0.42,2023-10-01,854,2023/10/01 08:54:00+00,n,291.48,11.65
"POINT (-111.77365 33.51056)",33.51056,-111.77365,307.83,0.54,0.42,2023-10-01,854,2023/10/01 08:54:00+00,n,291.75,25.63
"POINT (-111.77945 33.51123)",33.51123,-111.77945,334.16,0.54,0.42,2023-10-01,854,2023/10/01 08:54:00+00,n,306.85,25.63
"POINT (-118.19681 34.1573)",34.1573,-118.19681,297.8,0.42,0.61,2023-10-01,854,2023/10/01 08:54:00+00,n,274.73,0.62
"POINT (-101.83839 32.09561)",32.09561,-101.83839,305.84,0.53,0.42,2023-10-01,854,2023/10/01 08:54:00+00,n,291.02,1.01
"POINT (-101.83581 32.09798)",32.09798,-101.83581,304.81,0.53,0.42,2023-10-01,854,2023/10/01 08:54:00+00,n,290.36,1.56
"POINT (-103.40951 32.41446)",32.41446,-103.40951,300.04,0.45,0.39,2023-10-01,854,2023/10/01 08:54:00+00,n,286.2,1.08
"POINT (-93.29856 30.11473)",30.11473,-93.29856,307.36,0.59,0.7,2023-10-01,854,2023/10/01 08:54:00+00,n,291.43,1.68
"POINT (-93.32533 30.18316)",30.18316,-93.32533,303.3,0.59,0.7,2023-10-01,854,2023/10/01 08:54:00+00,n,292.99,1.62
"POINT (-101.99082 32.20388)",32.20388,-101.99082,305.23,0.52,0.42,2023-10-01,854,2023/10/01 08:54:00+00,n,290.82,0.51
"POINT (-97.44279 28.05649)",28.05649,-97.44279,303.83,0.38,0.59,2023-10-01,856,2023/10/01 08:56:00+00,n,289.4,0.97
"POINT (-98.96256 21.98852)",21.98852,-98.96256,307.65,0.41,0.61,2023-10-01,856,2023/10/01 08:56:00+00,n,288.21,1.06
"POINT (-98.87282 22.04305)",22.04305,-98.87282,314.52,0.42,0.61,2023-10-01,856,2023/10/01 08:56:00+00,n,286.59,1.58
"POINT (-103.39571 25.48728)",25.48728,-103.39571,302.93,0.57,0.43,2023-10-01,856,2023/10/01 08:56:00+00,n,291.62,0.61
"POINT (-110.22543 31.03093)",31.03093,-110.22543,304.06,0.44,0.38,2023-10-01,856,2023/10/01 08:56:00+00,n,286.86,0.66
"POINT (-96.07756 28.75946)",28.75946,-96.07756,298.32,0.44,0.62,2023-10-01,856,2023/10/01 08:56:00+00,n,288.2,3.66
"POINT (-96.52925 28.7028)",28.7028,-96.52925,314.62,0.42,0.61,2023-10-01,856,2023/10/01 08:56:00+00,n,289.9,1.09
"POINT (-96.54285 28.70065)",28.70065,-96.54285,305.84,0.42,0.61,2023-10-01,856,2023/10/01 08:56:00+00,n,289.82,1.09
"POINT (-96.5305 28.69765)",28.69765,-96.5305,314.39,0.42,0.61,2023-10-01,856,2023/10/01 08:56:00+00,n,289.58,1.51
"POINT (-97.8434 28.99369)",28.99369,-97.8434,306.06,0.34,0.56,2023-10-01,856,2023/10/01 08:56:00+00,n,290.83,0.56
"POINT (-99.93882 25.57887)",25.57887,-99.93882,315.18,0.61,0.53,2023-10-01,856,2023/10/01 08:56:00+00,n,289.67,4.41
"POINT (-100.30088 25.7186)",25.7186,-100.30088,295.83,0.57,0.52,2023-10-01,856,2023/10/01 08:56:00+00,n,265.83,0.81
"POINT (-109.96535 27.53115)",27.53115,-109.96535,314.51,0.4,0.37,2023-10-01,856,2023/10/01 08:56:00+00,n,295.14,1.48
"POINT (-97.43745 28.06084)",28.06084,-97.43745,315.75,0.38,0.59,2023-10-01,856,2023/10/01 08:56:00+00,n,289.34,0.97
"POINT (-97.43764 28.05911)",28.05911,-97.43764,313.28,0.38,0.59,2023-10-01,856,2023/10/01 08:56:00+00,n,289.75,2
"POINT (-109.62722 30.49547)",30.49547,-109.62722,317.32,0.41,0.37,2023-10-01,856,2023/10/01 08:56:00+00,n,291.47,1.37
"POINT (-98.18633 28.4541)",28.4541,-98.18633,300.04,0.34,0.56,2023-10-01,856,2023/10/01 08:56:00+00,n,280.67,0.61
"POINT (-98.19086 28.45926)",28.45926,-98.19086,300.56,0.33,0.56,2023-10-01,856,2023/10/01 08:56:00+00,n,279.5,0.82
"POINT (-110.22605 31.02744)",31.02744,-110.22605,324.77,0.44,0.38,2023-10-01,856,2023/10/01 08:56:00+00,n,288.96,3.05
"POINT (-97.42454 27.81505)",27.81505,-97.42454,304.44,0.39,0.59,2023-10-01,856,2023/10/01 08:56:00+00,n,289.85,2.56
"POINT (-97.42997 27.81069)",27.81069,-97.42997,307.07,0.38,0.59,2023-10-01,856,2023/10/01 08:56:00+00,n,290.04,2.03
"POINT (-97.48429 27.81787)",27.81787,-97.48429,305.96,0.38,0.59,2023-10-01,856,2023/10/01 08:56:00+00,n,290.51,1.58
"POINT (-99.34099 28.23206)",28.23206,-99.34099,295.21,0.58,0.52,2023-10-01,856,2023/10/01 08:56:00+00,n,276.43,0.47
"POINT (-108.14657 29.69969)",29.69969,-108.14657,296.72,0.39,0.36,2023-10-01,856,2023/10/01 08:56:00+00,n,284.37,0.87
"POINT (-108.14265 29.69909)",29.69909,-108.14265,310.96,0.39,0.36,2023-10-01,856,2023/10/01 08:56:00+00,n,286.31,1.57
"POINT (-106.0882 28.68658)",28.68658,-106.0882,315.08,0.4,0.37,2023-10-01,856,2023/10/01 08:56:00+00,n,287.57,2.23
"POINT (-111.65482 28.69433)",28.69433,-111.65482,304.19,0.47,0.4,2023-10-01,856,2023/10/01 08:56:00+00,n,292.49,1.18
"POINT (-97.20815 27.82277)",27.82277,-97.20815,311.34,0.4,0.6,2023-10-01,856,2023/10/01 08:56:00+00,n,289.5,3.4
"POINT (-103.3731 27.03073)",27.03073,-103.3731,297.21,0.54,0.42,2023-10-01,856,2023/10/01 08:56:00+00,n,283.47,1.09
"POINT (-97.27113 27.88912)",27.88912,-97.27113,307.23,0.39,0.59,2023-10-01,856,2023/10/01 08:56:00+00,n,289.78,1.78
"POINT (-97.26942 27.89076)",27.89076,-97.26942,306.31,0.39,0.59,2023-10-01,856,2023/10/01 08:56:00+00,n,290,1.13
"POINT (-98.13981 21.4074)",21.4074,-98.13981,310.08,0.48,0.65,2023-10-01,858,2023/10/01 08:58:00+00,n,288.64,1.09
"POINT (-97.96692 18.97196)",18.97196,-97.96692,299.69,0.56,0.69,2023-10-01,858,2023/10/01 08:58:00+00,n,282.41,2.04
"POINT (-96.0996 18.52703)",18.52703,-96.0996,316.43,0.75,0.77,2023-10-01,858,2023/10/01 08:58:00+00,n,284.27,2.36
"POINT (-96.09773 18.52727)",18.52727,-96.09773,315.84,0.75,0.77,2023-10-01,858,2023/10/01 08:58:00+00,n,284.01,2.47
"POINT (-97.96658 18.97048)",18.97048,-97.96658,303.37,0.56,0.69,2023-10-01,858,2023/10/01 08:58:00+00,n,284.16,2.28
"POINT (-104.25966 19.00856)",19.00856,-104.25966,325.74,0.44,0.46,2023-10-01,858,2023/10/01 08:58:00+00,n,291.19,4.15
"POINT (-98.60405 19.74856)",19.74856,-98.60405,323.72,0.49,0.65,2023-10-01,858,2023/10/01 08:58:00+00,n,280.92,3.17
"POINT (-99.18127 20.01509)",20.01509,-99.18127,295.69,0.44,0.63,2023-10-01,858,2023/10/01 08:58:00+00,n,281.67,0.81
"POINT (-99.17929 20.01118)",20.01118,-99.17929,296.66,0.44,0.63,2023-10-01,858,2023/10/01 08:58:00+00,n,283.25,0.66
"POINT (-100.92418 20.52519)",20.52519,-100.92418,307.55,0.33,0.56,2023-10-01,858,2023/10/01 08:58:00+00,n,288.02,1.47
"POINT (-98.30434 21.44464)",21.44464,-98.30434,303.38,0.47,0.64,2023-10-01,858,2023/10/01 08:58:00+00,n,288.64,0.69
"POINT (-98.14124 21.4065)",21.4065,-98.14124,304.6,0.48,0.65,2023-10-01,858,2023/10/01 08:58:00+00,n,288.83,1.37
"POINT (-98.30521 21.44481)",21.44481,-98.30521,302.12,0.47,0.64,2023-10-01,858,2023/10/01 08:58:00+00,n,288.24,0.76
"POINT (-122.73529 48.88793)",48.88793,-122.73529,297.24,0.43,0.38,2023-10-01,1032,2023/10/01 10:32:00+00,n,283.11,0.97
"POINT (-123.90235 45.39467)",45.39467,-123.90235,307.72,0.45,0.39,2023-10-01,1032,2023/10/01 10:32:00+00,n,280.64,1.74
"POINT (-123.90776 45.39571)",45.39571,-123.90776,297.22,0.45,0.39,2023-10-01,1032,2023/10/01 10:32:00+00,n,279.5,1.08
"POINT (-122.73849 45.56174)",45.56174,-122.73849,297.73,0.48,0.4,2023-10-01,1032,2023/10/01 10:32:00+00,n,279.61,0.51
"POINT (-123.83537 46.08855)",46.08855,-123.83537,300.52,0.44,0.38,2023-10-01,1032,2023/10/01 10:32:00+00,n,281.37,0.54
"POINT (-122.04787 47.4688)",47.4688,-122.04787,314.38,0.47,0.4,2023-10-01,1032,2023/10/01 10:32:00+00,n,275.82,1.96
"POINT (-122.34319 47.56655)",47.56655,-122.34319,301.32,0.46,0.39,2023-10-01,1032,2023/10/01 10:32:00+00,n,280.27,1.15
"POINT (-122.36702 47.5713)",47.5713,-122.36702,318.43,0.46,0.39,2023-10-01,1032,2023/10/01 10:32:00+00,n,280.38,2.46
"POINT (-122.73681 48.88455)",48.88455,-122.73681,298.31,0.43,0.38,2023-10-01,1032,2023/10/01 10:32:00+00,n,283.89,0.95
"POINT (-123.0056 49.15794)",49.15794,-123.0056,296.94,0.42,0.38,2023-10-01,1032,2023/10/01 10:32:00+00,n,281.48,1.22
"POINT (-123.02416 49.1433)",49.1433,-123.02416,296.22,0.42,0.38,2023-10-01,1032,2023/10/01 10:32:00+00,n,281.22,0.74
"POINT (-123.01933 49.09887)",49.09887,-123.01933,302.34,0.42,0.38,2023-10-01,1032,2023/10/01 10:32:00+00,n,279.51,0.79
"POINT (-123.01373 49.09782)",49.09782,-123.01373,297.32,0.42,0.38,2023-10-01,1032,2023/10/01 10:32:00+00,n,280.11,0.79
"POINT (-118.28904 33.77335)",33.77335,-118.28904,297.51,0.5,0.66,2023-10-01,1034,2023/10/01 10:34:00+00,n,286.4,1.08
"POINT (-122.32541 40.73695)",40.73695,-122.32541,302.13,0.42,0.45,2023-10-01,1034,2023/10/01 10:34:00+00,n,284.28,0.57
"POINT (-122.39849 37.94945)",37.94945,-122.39849,300.18,0.48,0.48,2023-10-01,1034,2023/10/01 10:34:00+00,n,286.37,2.11
"POINT (-122.39483 37.944)",37.944,-122.39483,299.31,0.48,0.48,2023-10-01,1034,2023/10/01 10:34:00+00,n,283.83,1.75
"POINT (-117.33749 34.60633)",34.60633,-117.33749,308.71,0.54,0.68,2023-10-01,1034,2023/10/01 10:34:00+00,n,282.2,2.4
"POINT (-118.19447 34.15294)",34.15294,-118.19447,296.67,0.5,0.66,2023-10-01,1034,2023/10/01 10:34:00+00,n,277.13,0.71
"POINT (-118.80366 34.29234)",34.29234,-118.80366,296.93,0.46,0.63,2023-10-01,1034,2023/10/01 10:34:00+00,n,280.27,0.5
"POINT (-118.24738 33.81956)",33.81956,-118.24738,296.97,0.5,0.66,2023-10-01,1034,2023/10/01 10:34:00+00,n,284.53,1.42
"POINT (-155.50571 19.59656)",19.59656,-155.50571,296.67,0.4,0.44,2023-10-01,1219,2023/10/01 12:19:00+00,n,285.83,1.59
"POINT (-155.28612 19.40397)",19.40397,-155.28612,313.63,0.41,0.45,2023-10-01,1219,2023/10/01 12:19:00+00,n,295.9,3
"POINT (-155.27754 19.40656)",19.40656,-155.27754,308.43,0.41,0.45,2023-10-01,1219,2023/10/01 12:19:00+00,n,295.68,3.16
"POINT (-155.28143 19.40731)",19.40731,-155.28143,314.59,0.41,0.45,2023-10-01,1219,2023/10/01 12:19:00+00,n,302,3
"POINT (-155.28535 19.40805)",19.40805,-155.28535,318.79,0.41,0.45,2023-10-01,1219,2023/10/01 12:19:00+00,n,301.49,3
"POINT (-155.28937 19.40882)",19.40882,-155.28937,323.22,0.41,0.45,2023-10-01,1219,2023/10/01 12:19:00+00,n,305.87,5.69
"POINT (-155.2767 19.41064)",19.41064,-155.2767,316.04,0.41,0.45,2023-10-01,1219,2023/10/01 12:19:00+00,n,300.57,3.26
"POINT (-155.28061 19.41138)",19.41138,-155.28061,316.33,0.41,0.45,2023-10-01,1219,2023/10/01 12:19:00+00,n,302.71,2.39
